fuzz: elapsed: 0s, gathering baseline coverage: 0/177 completed
fuzz: elapsed: 9m6s, execs: 657719 (49/sec), new interesting: 784 (total: 961)
fuzz: elapsed: 9m9s, execs: 660375 (885/sec), new interesting: 793 (total: 970)
fuzz: elapsed: 9m12s, execs: 661065 (230/sec), new interesting: 795 (total: 972)
fuzz: elapsed: 9m15s, execs: 661065 (0/sec), new interesting: 795 (total: 972)
fuzz: elapsed: 9m18s, execs: 664148 (1027/sec), new interesting: 797 (total: 974)
fuzz: elapsed: 9m21s, execs: 664953 (269/sec), new interesting: 798 (total: 975)
fuzz: elapsed: 9m24s, execs: 665620 (222/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m27s, execs: 665664 (15/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m30s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m33s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m36s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m39s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m42s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m45s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m48s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m51s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m54s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 9m57s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 10m0s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 10m3s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 10m6s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 10m9s, execs: 665664 (0/sec), new interesting: 799 (total: 976)
fuzz: elapsed: 10m12s, execs: 665849 (62/sec), new interesting: 801 (total: 978)
fuzz: elapsed: 10m15s, execs: 667602 (585/sec), new interesting: 808 (total: 985)
fuzz: elapsed: 10m18s, execs: 667602 (0/sec), new interesting: 808 (total: 985)
fuzz: elapsed: 10m21s, execs: 667602 (0/sec), new interesting: 808 (total: 985)
fuzz: elapsed: 10m24s, execs: 667602 (0/sec), new interesting: 808 (total: 985)
fuzz: elapsed: 10m27s, execs: 670470 (956/sec), new interesting: 818 (total: 995)
fuzz: elapsed: 10m30s, execs: 670470 (0/sec), new interesting: 818 (total: 995)
fuzz: elapsed: 10m33s, execs: 674865 (1465/sec), new interesting: 821 (total: 998)
fuzz: elapsed: 10m36s, execs: 676805 (647/sec), new interesting: 825 (total: 1002)
fuzz: elapsed: 10m39s, execs: 679290 (827/sec), new interesting: 829 (total: 1006)
fuzz: elapsed: 10m42s, execs: 679862 (191/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 10m45s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 10m48s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 10m51s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 10m54s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 10m57s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 11m0s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 11m3s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 11m6s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 11m9s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 11m12s, execs: 679862 (0/sec), new interesting: 832 (total: 1009)
fuzz: elapsed: 11m15s, execs: 680922 (353/sec), new interesting: 834 (total: 1011)
fuzz: elapsed: 11m18s, execs: 681870 (316/sec), new interesting: 836 (total: 1013)
fuzz: elapsed: 11m21s, execs: 681870 (0/sec), new interesting: 836 (total: 1013)
fuzz: elapsed: 11m24s, execs: 681870 (0/sec), new interesting: 836 (total: 1013)
fuzz: elapsed: 11m27s, execs: 681870 (0/sec), new interesting: 836 (total: 1013)
fuzz: elapsed: 11m30s, execs: 681870 (0/sec), new interesting: 836 (total: 1013)
fuzz: elapsed: 11m33s, execs: 681870 (0/sec), new interesting: 836 (total: 1013)
fuzz: elapsed: 11m36s, execs: 681870 (0/sec), new interesting: 836 (total: 1013)
fuzz: elapsed: 11m39s, execs: 681870 (0/sec), new interesting: 836 (total: 1013)
fuzz: elapsed: 11m42s, execs: 682842 (324/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 11m45s, execs: 684054 (404/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 11m48s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 11m51s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 11m54s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 11m57s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 12m0s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 12m3s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 12m6s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 12m9s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 12m12s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 12m15s, execs: 684054 (0/sec), new interesting: 840 (total: 1017)
fuzz: elapsed: 12m18s, execs: 684681 (209/sec), new interesting: 845 (total: 1022)
fuzz: elapsed: 12m21s, execs: 687581 (967/sec), new interesting: 850 (total: 1027)
fuzz: elapsed: 12m24s, execs: 690341 (920/sec), new interesting: 858 (total: 1035)
fuzz: elapsed: 12m27s, execs: 694044 (1234/sec), new interesting: 866 (total: 1043)
fuzz: elapsed: 12m30s, execs: 694293 (83/sec), new interesting: 867 (total: 1044)
fuzz: elapsed: 12m33s, execs: 694293 (0/sec), new interesting: 867 (total: 1044)
fuzz: elapsed: 12m36s, execs: 694293 (0/sec), new interesting: 867 (total: 1044)
fuzz: elapsed: 12m39s, execs: 694293 (0/sec), new interesting: 867 (total: 1044)
fuzz: elapsed: 12m42s, execs: 694293 (0/sec), new interesting: 867 (total: 1044)
