fuzz: elapsed: 0s, gathering baseline coverage: 0/3 completed
fuzz: elapsed: 7m15s, execs: 6749522 (21005/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m18s, execs: 6812109 (20858/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m21s, execs: 6874659 (20850/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m24s, execs: 6939248 (21537/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m27s, execs: 7001893 (20875/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m30s, execs: 7058497 (18868/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m33s, execs: 7119940 (20481/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m36s, execs: 7187035 (22365/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m39s, execs: 7251147 (21371/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m42s, execs: 7314298 (21050/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m45s, execs: 7375861 (20521/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m48s, execs: 7434729 (19623/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m51s, execs: 7497005 (20764/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m54s, execs: 7559223 (20735/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 7m57s, execs: 7617559 (19445/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m0s, execs: 7677247 (19902/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m3s, execs: 7740262 (20998/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m6s, execs: 7800100 (19946/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m9s, execs: 7860722 (20208/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m12s, execs: 7924748 (21344/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m15s, execs: 7986983 (20746/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m18s, execs: 8050939 (21313/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m21s, execs: 8116042 (21704/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m24s, execs: 8178430 (20794/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m27s, execs: 8242071 (21220/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m30s, execs: 8307094 (21668/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m33s, execs: 8369580 (20829/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m36s, execs: 8434318 (21587/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m39s, execs: 8496514 (20728/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m42s, execs: 8560087 (21188/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m45s, execs: 8624245 (21386/sec), new interesting: 33 (total: 36)
fuzz: elapsed: 8m48s, execs: 8688257 (21337/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 8m51s, execs: 8749377 (20373/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 8m54s, execs: 8808311 (19645/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 8m57s, execs: 8870561 (20750/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m0s, execs: 8934702 (21380/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m3s, execs: 8995804 (20371/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m6s, execs: 9058307 (20831/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m9s, execs: 9120069 (20587/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m12s, execs: 9183671 (21201/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m15s, execs: 9248552 (21629/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m18s, execs: 9311584 (21009/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m21s, execs: 9373028 (20481/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m24s, execs: 9425943 (17639/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m27s, execs: 9465244 (13104/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m30s, execs: 9509326 (14689/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m33s, execs: 9571073 (20589/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m36s, execs: 9634917 (21282/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m39s, execs: 9697115 (20728/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m42s, execs: 9754068 (18982/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m45s, execs: 9816629 (20856/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m48s, execs: 9882316 (21894/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m51s, execs: 9948218 (21967/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m54s, execs: 10011223 (21004/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 9m57s, execs: 10075761 (21518/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m0s, execs: 10138328 (20849/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m3s, execs: 10203552 (21741/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m6s, execs: 10269618 (22024/sec), new interesting: 34 (total: 37)
fuzz: elapsed: 10m9s, execs: 10335398 (21925/sec), new interesting: 34 (total: 37)
