go version go1.26.6 darwin/arm64
fuzz: elapsed: 0s, gathering baseline coverage: 0/4 completed
fuzz: elapsed: 10m39s, execs: 4882317 (13819/sec), new interesting: 320 (total: 324)
fuzz: elapsed: 10m42s, execs: 4924900 (14199/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 10m45s, execs: 4962478 (12522/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 10m48s, execs: 4995660 (11064/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 10m51s, execs: 5027278 (10536/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 10m54s, execs: 5060191 (10968/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 10m57s, execs: 5079867 (6560/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m0s, execs: 5085658 (1930/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m3s, execs: 5104931 (6419/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m6s, execs: 5127284 (7420/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m9s, execs: 5165625 (12848/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m12s, execs: 5196844 (10406/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m15s, execs: 5227125 (10094/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m18s, execs: 5251821 (8232/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m21s, execs: 5263627 (3930/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m24s, execs: 5268276 (1552/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m27s, execs: 5272440 (1388/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m30s, execs: 5292986 (6838/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m33s, execs: 5317426 (8136/sec), new interesting: 321 (total: 325)
fuzz: elapsed: 11m36s, execs: 5352116 (11595/sec), new interesting: 322 (total: 326)
fuzz: elapsed: 11m39s, execs: 5384366 (10753/sec), new interesting: 322 (total: 326)
fuzz: elapsed: 11m42s, execs: 5417218 (10947/sec), new interesting: 322 (total: 326)
fuzz: elapsed: 11m45s, execs: 5449431 (10738/sec), new interesting: 322 (total: 326)
fuzz: elapsed: 11m48s, execs: 5484730 (11769/sec), new interesting: 322 (total: 326)
fuzz: elapsed: 11m51s, execs: 5516791 (10685/sec), new interesting: 322 (total: 326)
fuzz: elapsed: 11m54s, execs: 5539976 (7727/sec), new interesting: 323 (total: 327)
fuzz: elapsed: 11m57s, execs: 5545627 (1872/sec), new interesting: 323 (total: 327)
fuzz: elapsed: 12m0s, execs: 5557124 (3857/sec), new interesting: 323 (total: 327)
fuzz: elapsed: 12m0s, execs: 5557124 (0/sec), new interesting: 323 (total: 327)
PASS
ok  	github.com/DataDog/dd-iast-go/internal/taint/propagation	720.545s
      723.04 real       970.85 user        49.84 sys
           266698752  maximum resident set size
                   0  average shared memory size
                   0  average unshared data size
                   0  average unshared stack size
              149836  page reclaims
                7260  page faults
                   0  swaps
                   0  block input operations
                   0  block output operations
                   0  messages sent
                   0  messages received
              101511  signals received
               33205  voluntary context switches
             8954758  involuntary context switches
          4010109166  instructions retired
          2119267941  cycles elapsed
            26378984  peak memory footprint
EXIT=0
