go version go1.26.6 darwin/arm64
fuzz: elapsed: 1s, gathering baseline coverage: 0/1178 completed
fuzz: elapsed: 9m1s, execs: 4890590 (8783/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 9m4s, execs: 4916488 (8631/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 9m7s, execs: 4942038 (8509/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 9m10s, execs: 4966957 (8312/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 9m13s, execs: 4989880 (7644/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 9m16s, execs: 5015343 (8486/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 9m19s, execs: 5042005 (8888/sec), new interesting: 211 (total: 1389)
fuzz: elapsed: 9m22s, execs: 5067437 (8473/sec), new interesting: 212 (total: 1390)
fuzz: elapsed: 9m25s, execs: 5094809 (9129/sec), new interesting: 212 (total: 1390)
fuzz: elapsed: 9m28s, execs: 5122845 (9344/sec), new interesting: 212 (total: 1390)
fuzz: elapsed: 9m31s, execs: 5149434 (8862/sec), new interesting: 214 (total: 1392)
fuzz: elapsed: 9m34s, execs: 5177310 (9293/sec), new interesting: 215 (total: 1393)
fuzz: elapsed: 9m37s, execs: 5203820 (8838/sec), new interesting: 215 (total: 1393)
fuzz: elapsed: 9m40s, execs: 5229418 (8533/sec), new interesting: 215 (total: 1393)
fuzz: elapsed: 9m43s, execs: 5255941 (8841/sec), new interesting: 215 (total: 1393)
fuzz: elapsed: 9m46s, execs: 5283784 (9279/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 9m49s, execs: 5309965 (8727/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 9m52s, execs: 5335408 (8481/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 9m55s, execs: 5361275 (8623/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 9m58s, execs: 5389241 (9322/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 10m1s, execs: 5414810 (8522/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 10m4s, execs: 5440513 (8569/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 10m7s, execs: 5466086 (8522/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 10m10s, execs: 5494624 (9513/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 10m13s, execs: 5522964 (9448/sec), new interesting: 216 (total: 1394)
fuzz: elapsed: 10m16s, execs: 5549952 (8995/sec), new interesting: 217 (total: 1395)
fuzz: elapsed: 10m19s, execs: 5578570 (9540/sec), new interesting: 217 (total: 1395)
fuzz: elapsed: 10m22s, execs: 5606023 (9150/sec), new interesting: 217 (total: 1395)
fuzz: elapsed: 10m25s, execs: 5634579 (9519/sec), new interesting: 218 (total: 1396)
fuzz: elapsed: 10m28s, execs: 5661219 (8883/sec), new interesting: 218 (total: 1396)
fuzz: elapsed: 10m31s, execs: 5687536 (8772/sec), new interesting: 220 (total: 1398)
fuzz: elapsed: 10m34s, execs: 5714198 (8888/sec), new interesting: 220 (total: 1398)
fuzz: elapsed: 10m37s, execs: 5741166 (8986/sec), new interesting: 220 (total: 1398)
fuzz: elapsed: 10m40s, execs: 5768012 (8951/sec), new interesting: 220 (total: 1398)
fuzz: elapsed: 10m43s, execs: 5794736 (8908/sec), new interesting: 221 (total: 1399)
fuzz: elapsed: 10m46s, execs: 5821834 (9032/sec), new interesting: 221 (total: 1399)
fuzz: elapsed: 10m49s, execs: 5844014 (7393/sec), new interesting: 221 (total: 1399)
fuzz: elapsed: 10m52s, execs: 5862633 (6205/sec), new interesting: 221 (total: 1399)
fuzz: elapsed: 10m55s, execs: 5881535 (6301/sec), new interesting: 221 (total: 1399)
fuzz: elapsed: 10m58s, execs: 5908185 (8883/sec), new interesting: 221 (total: 1399)
fuzz: elapsed: 11m1s, execs: 5934417 (8746/sec), new interesting: 221 (total: 1399)
fuzz: elapsed: 11m4s, execs: 5961149 (8911/sec), new interesting: 221 (total: 1399)
fuzz: elapsed: 11m7s, execs: 5987155 (8667/sec), new interesting: 221 (total: 1399)
fuzz: elapsed: 11m10s, execs: 6014512 (9119/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m13s, execs: 6042890 (9460/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m16s, execs: 6070152 (9086/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m19s, execs: 6099526 (9792/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m22s, execs: 6126440 (8971/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m25s, execs: 6154546 (9369/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m28s, execs: 6181680 (9045/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m31s, execs: 6207719 (8679/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m34s, execs: 6234482 (8922/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m37s, execs: 6261826 (9113/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m40s, execs: 6288084 (8753/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m43s, execs: 6314393 (8770/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m46s, execs: 6339857 (8490/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m49s, execs: 6366929 (9022/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m52s, execs: 6395107 (9393/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m55s, execs: 6422583 (9159/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 11m58s, execs: 6450849 (9423/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 12m1s, execs: 6479217 (9458/sec), new interesting: 222 (total: 1400)
fuzz: elapsed: 12m1s, execs: 6479217 (0/sec), new interesting: 222 (total: 1400)
PASS
ok  	github.com/DataDog/dd-iast-go/internal/taint/propagation	721.564s
      723.27 real      1431.83 user        59.38 sys
           370917376  maximum resident set size
                   0  average shared memory size
                   0  average unshared data size
                   0  average unshared stack size
               99419  page reclaims
                7660  page faults
                   0  swaps
                   0  block input operations
                   0  block output operations
                   0  messages sent
                   0  messages received
              134031  signals received
               52220  voluntary context switches
            13107715  involuntary context switches
          3669069028  instructions retired
          3125978277  cycles elapsed
            25576216  peak memory footprint
EXIT=0
